window,min_ev,filter,max_ratio,kill_switch,is_roi,is_bets,is_pos,is_seasons,is_bk
sliding_3,0.07,base+X[3.70-4.50),1.2,no,0.0401,270,5,8,1108.3
sliding_5,0.03,base,1.2,si,0.0396,263,5,8,1104.1
sliding_5,0.04,base+X[3.70-4.50),1.15,si,0.0394,230,4,8,1090.6
sliding_5,0.07,base+X[3.50-4.50),1.15,no,0.0391,234,5,8,1091.6
sliding_5,0.1,base+X[3.50-4.50),1.15,si,0.0389,113,3,8,1044.0
sliding_3,0.07,base,none,no,0.0389,318,6,8,1123.6
sliding_3,0.07,base+X[3.70-4.50),1.15,no,0.0384,201,4,8,1077.2
sliding_5,0.1,base+X[3.70-4.50),1.25,no,0.0382,255,4,8,1097.4
sliding_7,0.04,base,1.2,no,0.038,319,5,8,1121.2
sliding_3,0.07,base+X[3.70-4.50),1.15,si,0.038,187,4,8,1071.1
sliding_3,0.1,base+X[3.70-4.50),1.25,no,0.0379,228,5,8,1086.5
sliding_3,0.05,base+X[3.50-4.50),none,no,0.0377,523,5,8,1197.0
sliding_4,0.03,solo_X[3.50-4.50),1.25,si,0.0373,148,4,8,1055.2
sliding_3,0.1,base+X[3.50-4.50),1.15,no,0.0369,128,3,8,1047.2
sliding_3,0.07,base+X[3.50-4.50),1.25,si,0.0367,284,5,8,1104.3
sliding_5,0.04,base,1.25,no,0.0365,365,5,8,1133.4
sliding_3,0.04,base+X[3.70-4.50),1.25,no,0.0361,418,5,8,1151.0
sliding_3,0.1,base+X[3.70-4.50),none,no,0.0361,303,5,8,1109.4
sliding_3,0.05,base+X[3.70-4.50),none,si,0.0357,261,3,8,1093.1
sliding_5,0.03,base+X[3.70-4.50),1.15,no,0.0353,374,4,8,1131.9
sliding_3,0.04,base+X[3.70-4.50),none,no,0.0353,493,4,8,1173.9
sliding_3,0.1,base,none,si,0.0352,189,4,8,1066.5
sliding_4,0.04,solo_X[3.50-4.50),1.2,si,0.0352,134,3,8,1047.2
sliding_3,0.07,base+X[3.70-4.50),1.2,si,0.0351,210,5,8,1073.7
sliding_5,0.05,base,1.25,no,0.035,329,5,8,1115.2
sliding_3,0.04,base+X[3.70-4.50),none,si,0.0349,234,3,8,1081.6
sliding_3,0.03,base,1.25,si,0.0346,259,5,8,1089.5
sliding_5,0.04,base+X[3.50-4.50),1.15,no,0.0342,371,4,8,1126.8
sliding_3,0.06,solo_X[3.50-4.50),1.15,si,0.0341,95,5,8,1032.4
sliding_3,0.06,base+X[3.50-4.50),none,no,0.0341,486,5,8,1165.6
sliding_3,0.06,solo_X[3.50-4.50),1.15,no,0.0341,95,5,8,1032.4
sliding_6,0.1,base,1.2,si,0.034,134,6,8,1045.6
expanding,0.04,base,1.25,si,0.0339,276,5,8,1093.5
sliding_9,0.04,base,1.25,si,0.0339,276,5,8,1093.5
sliding_4,0.05,solo_X[3.50-4.50),1.25,si,0.0338,128,4,8,1043.2
sliding_4,0.07,solo_X[3.50-4.50),none,no,0.0338,128,5,8,1043.2
sliding_5,0.05,base+X[3.50-4.50),1.15,si,0.0337,248,5,8,1083.6
sliding_5,0.03,base,1.2,no,0.0335,350,5,8,1117.4
sliding_7,0.1,base,1.15,no,0.0332,88,4,8,1029.2
